flight_id,airline,flight_number,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,weather_condition,temperature_c,wind_speed_kts,visibility_km,airport_traffic_index,prior_leg_delay_min,aircraft_age_years,maintenance_overdue_flag,actual_departure_delay_min
FL-1012,TransFlight,TR180,LAX,DXB,2026-01-04 09:35:00,2026-01-04 14:52:00,High Winds,-4.0,30.4,9.5,2.49,13,11.8,0,50
FL-1013,AeroGlobal,AE652,ATL,LHR,2026-01-19 09:48:00,2026-01-19 16:16:00,Fog,7.9,40.7,4.8,3.23,2,1.9,0,25
FL-1014,TransFlight,TR335,FRA,ATL,2026-01-01 13:51:00,2026-01-01 15:12:00,Fog,20.3,11.8,9.1,8.74,1,2.0,0,46
FL-1015,NimbusAero,NI597,ATL,FRA,2026-01-07 06:31:00,2026-01-07 13:26:00,Snow,17.7,12.4,5.0,4.66,1,2.5,0,65
FL-1016,JetExpress,JE533,CDG,DXB,2026-01-03 17:10:00,2026-01-03 23:39:00,Fog,37.2,6.2,4.3,4.05,17,19.0,1,55
FL-1017,OceanicAir,OC243,CDG,ORD,2026-01-13 22:14:00,2026-01-14 02:55:00,Overcast,32.0,5.2,8.2,8.7,10,2.6,0,38
FL-1018,TransFlight,TR956,JFK,ORD,2026-01-12 00:11:00,2026-01-12 02:21:00,Thunderstorm,13.3,11.2,4.3,1.53,0,8.6,0,61
FL-1019,JetExpress,JE902,HND,DFW,2026-01-20 12:02:00,2026-01-20 18:43:00,Fog,37.8,25.9,7.3,2.39,16,6.9,0,54
FL-1020,TransFlight,TR853,DXB,JFK,2026-01-15 12:32:00,2026-01-15 13:46:00,Clear,18.0,23.6,8.6,2.42,5,21.2,1,59
FL-1021,TransFlight,TR169,ATL,HND,2026-01-06 16:56:00,2026-01-06 22:32:00,Overcast,17.8,3.7,1.3,6.92,3,12.7,0,41
FL-1022,JetExpress,JE309,LHR,ATL,2026-01-13 08:07:00,2026-01-13 12:14:00,Overcast,22.2,14.9,3.5,7.77,52,2.1,0,64
FL-1023,TransFlight,TR202,LAX,FRA,2026-01-10 22:49:00,2026-01-11 03:53:00,Rain,-3.6,17.0,1.2,3.2,38,6.6,0,54
FL-1024,TransFlight,TR820,DFW,FRA,2026-01-01 14:32:00,2026-01-01 20:58:00,High Winds,16.6,42.1,1.5,8.9,1,6.2,0,59
FL-1025,NimbusAero,NI666,ORD,LHR,2026-01-14 01:45:00,2026-01-14 07:39:00,Overcast,24.4,10.8,6.5,3.38,4,11.0,0,2
FL-1026,SkyWings,SK194,CDG,DFW,2026-01-03 06:09:00,2026-01-03 06:55:00,Rain,27.0,29.4,3.0,7.67,26,12.4,0,40
FL-1027,SkyWings,SK214,LAX,ATL,2026-01-26 01:55:00,2026-01-26 02:58:00,High Winds,7.7,25.8,4.6,1.38,11,8.3,0,40
FL-1028,SkyWings,SK466,ATL,DFW,2026-01-05 22:16:00,2026-01-06 02:02:00,High Winds,16.9,39.6,9.8,7.75,2,20.4,1,78
FL-1029,AeroGlobal,AE522,JFK,ATL,2026-01-16 08:50:00,2026-01-16 13:05:00,High Winds,22.2,33.6,2.9,2.43,19,15.6,0,50
FL-1030,OceanicAir,OC327,ATL,DXB,2026-01-17 03:55:00,2026-01-17 07:16:00,High Winds,28.2,11.8,0.7,2.74,22,7.6,0,57
FL-1031,JetExpress,JE459,DXB,CDG,2026-01-25 15:41:00,2026-01-25 19:15:00,Clear,-4.5,43.7,2.2,9.66,1,6.2,0,28
FL-1032,OceanicAir,OC453,LHR,HND,2026-01-28 20:08:00,2026-01-29 01:14:00,Clear,8.5,26.8,2.9,7.38,29,0.5,0,28
FL-1033,TransFlight,TR803,ATL,CDG,2026-01-20 21:05:00,2026-01-20 22:25:00,Fog,34.2,28.8,6.8,2.12,0,19.9,0,46
FL-1034,JetExpress,JE512,DFW,FRA,2026-01-07 01:01:00,2026-01-07 03:24:00,Thunderstorm,21.9,18.3,7.6,2.57,5,12.7,0,66
FL-1035,SkyWings,SK411,DFW,ATL,2026-01-20 19:33:00,2026-01-21 01:14:00,Snow,21.4,22.0,4.7,2.92,15,10.7,0,54
FL-1036,NimbusAero,NI273,LAX,LHR,2026-01-24 17:00:00,2026-01-24 23:24:00,Fog,19.7,6.0,9.5,3.11,32,7.2,0,49
FL-1037,AeroGlobal,AE125,JFK,DFW,2026-01-22 20:58:00,2026-01-23 02:55:00,High Winds,26.9,21.6,8.9,6.18,18,15.9,0,60
FL-1038,AeroGlobal,AE771,JFK,ORD,2026-01-20 14:22:00,2026-01-20 16:59:00,Overcast,28.6,31.9,4.9,6.02,21,20.2,1,71
FL-1039,OceanicAir,OC783,DXB,FRA,2026-01-28 08:23:00,2026-01-28 11:50:00,High Winds,32.8,28.3,7.3,5.54,10,18.4,0,66
FL-1040,NimbusAero,NI982,HND,DXB,2026-01-13 01:06:00,2026-01-13 03:57:00,High Winds,20.6,34.9,5.5,6.64,11,6.4,0,48
FL-1041,JetExpress,JE340,DFW,CDG,2026-01-15 19:12:00,2026-01-16 00:33:00,Clear,-3.4,11.9,7.1,7.36,1,1.9,0,26
FL-1042,TransFlight,TR577,CDG,JFK,2026-01-10 15:55:00,2026-01-10 20:15:00,Thunderstorm,33.4,27.1,7.1,8.71,0,17.0,0,48
FL-1043,JetExpress,JE405,CDG,HND,2026-01-25 17:52:00,2026-01-25 23:16:00,High Winds,19.0,11.5,2.6,4.92,10,1.1,0,61
FL-1044,NimbusAero,NI917,CDG,ORD,2026-01-22 12:30:00,2026-01-22 14:20:00,Snow,15.6,41.0,6.1,6.97,35,2.3,0,74
FL-1045,OceanicAir,OC286,JFK,LHR,2026-01-18 12:04:00,2026-01-18 15:36:00,Overcast,11.8,16.5,8.9,3.5,21,21.0,0,14
FL-1046,OceanicAir,OC119,DXB,JFK,2026-01-17 04:15:00,2026-01-17 06:54:00,Fog,-6.7,43.2,0.9,1.28,3,5.8,0,34
FL-1047,TransFlight,TR256,ATL,ORD,2026-01-22 19:15:00,2026-01-23 01:42:00,Clear,17.1,11.4,7.1,7.9,2,4.1,0,25
FL-1048,NimbusAero,NI835,LAX,ATL,2026-01-15 09:44:00,2026-01-15 11:24:00,Snow,-8.8,15.4,6.9,9.62,39,9.0,0,102
FL-1049,SkyWings,SK706,ATL,LAX,2026-01-14 23:24:00,2026-01-15 05:59:00,Snow,28.7,36.2,5.9,1.37,30,12.0,0,73
FL-1050,SkyWings,SK618,LHR,JFK,2026-01-20 08:48:00,2026-01-20 13:43:00,Clear,10.8,17.6,9.0,5.14,24,3.8,0,46
FL-1051,TransFlight,TR766,DFW,FRA,2026-01-23 06:06:00,2026-01-23 10:49:00,Thunderstorm,29.6,27.5,3.6,3.21,33,20.6,0,76
FL-1052,OceanicAir,OC683,FRA,CDG,2026-01-16 13:26:00,2026-01-16 14:25:00,Thunderstorm,30.8,9.8,2.5,8.18,5,7.8,0,84
FL-1053,NimbusAero,NI382,DXB,JFK,2026-01-24 18:17:00,2026-01-24 20:39:00,Clear,1.6,19.5,5.8,3.16,8,10.7,0,12
FL-1054,OceanicAir,OC911,JFK,ORD,2026-01-14 15:23:00,2026-01-14 18:01:00,Thunderstorm,23.2,15.2,6.0,5.26,25,11.9,0,50
FL-1055,NimbusAero,NI663,LHR,CDG,2026-01-21 21:36:00,2026-01-22 00:39:00,Rain,2.1,7.2,2.3,2.08,3,12.0,0,26
FL-1056,AeroGlobal,AE296,ATL,DXB,2026-01-13 20:00:00,2026-01-14 02:55:00,Snow,36.9,24.6,3.2,1.9,1,4.7,0,41
FL-1057,AeroGlobal,AE409,JFK,FRA,2026-01-07 00:15:00,2026-01-07 03:20:00,Clear,36.8,25.8,7.1,2.14,5,19.2,0,9
FL-1058,TransFlight,TR391,HND,DXB,2026-01-21 07:06:00,2026-01-21 10:45:00,Overcast,36.3,12.9,8.7,2.03,10,1.9,0,7
FL-1059,TransFlight,TR744,JFK,ATL,2026-01-08 00:57:00,2026-01-08 06:30:00,Rain,-5.9,12.7,5.8,4.75,53,13.3,0,75
FL-1060,TransFlight,TR489,HND,DXB,2026-01-14 18:47:00,2026-01-15 00:33:00,Thunderstorm,4.7,28.7,6.3,7.66,49,20.9,1,113
FL-1061,NimbusAero,NI183,ORD,DFW,2026-01-09 03:51:00,2026-01-09 09:18:00,Clear,-2.5,19.6,7.0,5.23,5,1.2,0,5
FL-1062,JetExpress,JE819,HND,LAX,2026-01-11 20:57:00,2026-01-11 23:57:00,High Winds,28.0,27.4,8.1,2.78,5,3.0,0,39
FL-1063,AeroGlobal,AE372,ORD,LAX,2026-01-03 23:08:00,2026-01-04 01:17:00,High Winds,4.8,34.2,5.9,3.6,10,3.2,0,48
FL-1064,NimbusAero,NI512,DFW,FRA,2026-01-25 19:48:00,2026-01-26 00:45:00,Thunderstorm,-6.1,3.7,4.6,3.9,0,5.9,0,52
FL-1065,NimbusAero,NI956,FRA,JFK,2026-01-13 12:22:00,2026-01-13 18:02:00,Clear,26.6,9.5,5.4,4.98,4,6.5,0,17
FL-1066,OceanicAir,OC750,HND,LAX,2026-01-22 15:22:00,2026-01-22 19:05:00,Thunderstorm,6.0,30.8,8.6,3.97,2,15.4,0,76
FL-1067,TransFlight,TR137,HND,LAX,2026-01-15 13:32:00,2026-01-15 16:26:00,Rain,-4.4,35.2,8.7,8.42,4,0.5,0,46
FL-1068,OceanicAir,OC523,JFK,DFW,2026-01-24 20:16:00,2026-01-25 00:06:00,Snow,26.3,28.9,7.7,2.83,16,12.3,0,56
FL-1069,OceanicAir,OC815,HND,LAX,2026-01-02 13:31:00,2026-01-02 19:38:00,Snow,28.4,32.5,3.5,1.12,19,9.3,0,52
FL-1070,SkyWings,SK572,LAX,ATL,2026-01-23 22:21:00,2026-01-24 05:12:00,Rain,14.4,13.8,8.4,9.82,6,5.7,0,64
FL-1071,OceanicAir,OC295,FRA,DXB,2026-01-07 11:06:00,2026-01-07 12:26:00,Rain,27.1,38.7,3.7,8.09,11,6.2,0,57
FL-1072,NimbusAero,NI405,FRA,HND,2026-01-08 00:18:00,2026-01-08 04:51:00,Snow,13.2,16.3,7.7,4.39,1,20.6,0,56
FL-1073,AeroGlobal,AE685,CDG,ATL,2026-01-19 22:40:00,2026-01-19 23:47:00,Rain,25.7,32.3,8.2,4.47,3,14.8,0,41
FL-1074,AeroGlobal,AE607,JFK,ATL,2026-01-24 02:38:00,2026-01-24 08:25:00,Rain,31.7,39.6,4.7,5.73,0,10.3,0,51
FL-1075,OceanicAir,OC991,ORD,LAX,2026-01-22 14:48:00,2026-01-22 17:48:00,Rain,19.9,19.1,1.3,3.96,0,15.0,0,35
FL-1076,JetExpress,JE741,HND,FRA,2026-01-02 21:12:00,2026-01-03 03:13:00,Clear,1.3,31.4,3.2,3.05,10,2.4,0,23
FL-1077,NimbusAero,NI820,LAX,DXB,2026-01-08 19:42:00,2026-01-09 02:22:00,Rain,33.4,4.0,8.1,3.64,2,8.6,0,11
FL-1078,TransFlight,TR521,FRA,ORD,2026-01-08 23:40:00,2026-01-09 01:54:00,Clear,19.3,18.4,7.0,5.48,17,13.0,0,36
FL-1079,NimbusAero,NI360,HND,DFW,2026-01-01 16:15:00,2026-01-01 20:58:00,Rain,22.5,8.8,4.7,4.11,2,13.1,0,27
FL-1080,OceanicAir,OC806,DFW,DXB,2026-01-14 23:59:00,2026-01-15 02:25:00,Thunderstorm,31.0,6.6,4.1,4.23,6,6.9,0,65
FL-1081,SkyWings,SK949,CDG,DFW,2026-01-01 14:50:00,2026-01-01 20:24:00,High Winds,22.9,34.0,1.0,6.46,16,11.2,0,75
FL-1082,JetExpress,JE894,ATL,CDG,2026-01-11 05:12:00,2026-01-11 11:22:00,Overcast,19.8,31.1,7.3,6.93,25,18.5,0,57
FL-1083,NimbusAero,NI140,DFW,DXB,2026-01-02 18:26:00,2026-01-03 00:07:00,Rain,25.2,5.9,3.3,7.73,4,4.3,0,64
FL-1084,TransFlight,TR997,LHR,FRA,2026-01-24 02:05:00,2026-01-24 05:09:00,High Winds,-2.1,41.3,9.5,9.71,1,6.8,0,57
FL-1085,SkyWings,SK579,LAX,ATL,2026-01-11 12:25:00,2026-01-11 18:56:00,Fog,22.4,19.1,8.5,6.02,6,2.4,0,60
FL-1086,JetExpress,JE649,LAX,DXB,2026-01-18 00:35:00,2026-01-18 07:04:00,Fog,22.3,27.1,8.3,9.46,19,2.8,0,72
FL-1087,SkyWings,SK734,DXB,LHR,2026-01-29 00:22:00,2026-01-29 03:00:00,Fog,-7.0,37.4,9.1,3.72,1,9.3,0,45
FL-1088,SkyWings,SK411,HND,LAX,2026-01-05 16:09:00,2026-01-05 18:54:00,Snow,-3.5,21.5,6.9,7.69,2,20.8,0,70
FL-1089,AeroGlobal,AE524,LAX,DXB,2026-01-29 06:27:00,2026-01-29 10:40:00,Rain,-8.4,17.9,4.7,9.55,0,18.9,1,75
FL-1090,TransFlight,TR760,LHR,JFK,2026-01-19 08:52:00,2026-01-19 11:58:00,Overcast,36.5,42.8,8.3,1.83,1,5.1,0,12
FL-1091,SkyWings,SK151,LHR,ATL,2026-01-06 23:32:00,2026-01-07 05:06:00,Overcast,-6.7,34.9,2.5,2.94,17,19.2,0,11
FL-1092,TransFlight,TR102,DFW,ORD,2026-01-07 03:59:00,2026-01-07 09:20:00,Rain,28.3,6.7,8.7,2.19,15,8.2,0,38
FL-1093,TransFlight,TR431,JFK,ATL,2026-01-13 07:51:00,2026-01-13 09:02:00,Overcast,25.6,24.6,7.6,5.29,4,17.2,0,14
FL-1094,TransFlight,TR326,FRA,JFK,2026-01-31 05:41:00,2026-01-31 10:52:00,Rain,12.0,43.5,1.1,5.31,5,9.1,0,43
FL-1095,OceanicAir,OC829,HND,LAX,2026-01-04 22:14:00,2026-01-05 01:43:00,Snow,-2.9,7.4,6.4,6.27,28,15.8,0,88
FL-1096,JetExpress,JE564,DXB,CDG,2026-01-05 18:19:00,2026-01-06 01:03:00,Clear,30.9,30.0,7.8,7.49,16,5.1,0,27
FL-1097,AeroGlobal,AE523,LHR,DXB,2026-01-19 09:31:00,2026-01-19 13:48:00,Fog,-5.4,20.4,6.8,4.37,6,3.8,0,52
FL-1098,SkyWings,SK193,LAX,ORD,2026-01-20 21:43:00,2026-01-20 23:17:00,Fog,25.5,36.9,5.8,6.28,4,12.6,0,56
FL-1099,SkyWings,SK520,LHR,HND,2026-01-03 14:11:00,2026-01-03 17:23:00,Snow,5.0,6.5,5.3,2.39,14,10.9,0,57
FL-1100,JetExpress,JE965,DXB,LHR,2026-01-06 11:29:00,2026-01-06 14:36:00,Snow,0.9,20.5,5.8,7.91,23,13.9,0,108
FL-1101,TransFlight,TR126,FRA,DFW,2026-01-02 13:37:00,2026-01-02 15:54:00,Rain,23.7,15.3,3.7,1.05,10,19.2,0,22
FL-1102,AeroGlobal,AE858,JFK,ORD,2026-01-25 09:25:00,2026-01-25 12:00:00,Thunderstorm,10.2,16.7,4.0,7.49,3,17.2,0,52
FL-1103,SkyWings,SK259,ORD,JFK,2026-01-04 23:06:00,2026-01-05 02:10:00,Thunderstorm,21.8,22.9,4.7,3.46,0,16.7,1,85
FL-1104,JetExpress,JE794,FRA,HND,2026-01-25 05:33:00,2026-01-25 11:59:00,Rain,-7.8,19.0,6.2,1.07,15,7.0,0,21
FL-1105,AeroGlobal,AE882,DFW,LHR,2026-01-16 04:23:00,2026-01-16 06:09:00,Clear,13.9,20.5,1.7,5.79,51,5.4,0,58
FL-1106,NimbusAero,NI925,LHR,LAX,2026-01-19 07:42:00,2026-01-19 08:48:00,Thunderstorm,-9.1,41.6,8.7,6.18,49,12.8,0,97
FL-1107,OceanicAir,OC396,LAX,HND,2026-01-02 04:46:00,2026-01-02 08:17:00,Overcast,28.5,28.6,8.4,9.28,7,2.4,0,48
FL-1108,AeroGlobal,AE546,FRA,CDG,2026-01-25 02:18:00,2026-01-25 03:43:00,Thunderstorm,31.8,34.1,2.6,8.01,28,2.1,0,84
FL-1109,TransFlight,TR622,ATL,CDG,2026-01-17 05:29:00,2026-01-17 12:26:00,High Winds,21.0,8.4,1.5,3.3,12,4.2,0,37
FL-1110,NimbusAero,NI177,ORD,DXB,2026-01-22 08:45:00,2026-01-22 14:18:00,High Winds,17.8,31.3,8.9,6.79,41,21.7,0,93
FL-1111,JetExpress,JE254,HND,LAX,2026-01-22 14:11:00,2026-01-22 18:42:00,Fog,4.5,13.8,1.0,5.57,1,7.2,0,62
FL-1112,SkyWings,SK477,DFW,LAX,2026-01-30 14:08:00,2026-01-30 15:39:00,Snow,18.5,18.5,6.0,9.59,14,16.4,1,116
FL-1113,TransFlight,TR767,ATL,CDG,2026-01-28 18:49:00,2026-01-28 23:37:00,Snow,-2.8,4.7,1.5,9.09,20,7.9,0,84
FL-1114,TransFlight,TR761,ORD,JFK,2026-01-12 12:36:00,2026-01-12 19:23:00,Thunderstorm,37.6,24.5,6.3,4.28,17,20.2,0,68
FL-1115,NimbusAero,NI712,JFK,CDG,2026-01-04 05:59:00,2026-01-04 09:32:00,Clear,16.8,18.6,2.9,8.66,5,21.2,0,47
FL-1116,SkyWings,SK696,ORD,CDG,2026-01-15 08:51:00,2026-01-15 15:11:00,Fog,21.8,7.5,7.2,1.76,24,12.5,0,51
FL-1117,JetExpress,JE932,ORD,FRA,2026-01-05 12:04:00,2026-01-05 18:19:00,Fog,10.3,17.6,3.9,2.62,36,5.1,0,65
FL-1118,OceanicAir,OC296,ATL,ORD,2026-01-08 07:14:00,2026-01-08 08:38:00,Rain,30.5,6.3,7.8,8.52,10,19.5,1,81
FL-1119,TransFlight,TR234,FRA,CDG,2026-01-08 06:29:00,2026-01-08 08:37:00,Overcast,29.9,35.2,8.2,2.49,15,9.9,0,21
FL-1120,NimbusAero,NI836,ATL,DXB,2026-01-29 00:55:00,2026-01-29 04:05:00,High Winds,25.9,21.3,5.6,3.79,18,17.9,0,62
FL-1121,JetExpress,JE794,FRA,HND,2026-01-22 06:16:00,2026-01-22 09:25:00,High Winds,8.3,24.7,9.7,8.35,6,17.7,1,80
FL-1122,NimbusAero,NI592,LHR,FRA,2026-01-05 22:03:00,2026-01-06 04:52:00,High Winds,14.8,7.4,1.3,2.44,7,10.2,0,45
FL-1123,OceanicAir,OC193,ATL,DXB,2026-01-17 03:50:00,2026-01-17 04:48:00,Thunderstorm,-7.4,23.6,2.7,9.95,0,8.6,0,59
FL-1124,SkyWings,SK959,LHR,ORD,2026-01-07 12:17:00,2026-01-07 13:21:00,Rain,34.0,22.3,8.4,7.83,9,10.6,0,28
FL-1125,SkyWings,SK119,DFW,ATL,2026-01-08 01:18:00,2026-01-08 06:43:00,Fog,19.2,20.2,7.9,3.14,13,3.1,0,43
FL-1126,NimbusAero,NI912,FRA,HND,2026-01-04 02:36:00,2026-01-04 04:17:00,High Winds,33.4,27.7,0.7,5.64,0,5.7,0,34
FL-1127,OceanicAir,OC101,FRA,LHR,2026-01-12 04:45:00,2026-01-12 10:22:00,Thunderstorm,-1.0,30.7,5.5,4.25,11,21.0,0,71
FL-1128,TransFlight,TR667,JFK,HND,2026-01-22 15:30:00,2026-01-22 16:37:00,Fog,8.6,18.1,7.6,4.21,22,2.0,0,55
FL-1129,NimbusAero,NI743,LAX,CDG,2026-01-07 07:43:00,2026-01-07 08:50:00,Rain,16.2,37.0,2.2,8.01,1,10.5,0,29
FL-1130,NimbusAero,NI286,ORD,LAX,2026-01-22 01:54:00,2026-01-22 02:57:00,Rain,-0.3,36.0,8.9,3.84,0,7.2,0,49
FL-1131,TransFlight,TR584,DFW,JFK,2026-01-30 16:35:00,2026-01-30 18:57:00,Rain,7.1,35.6,8.7,3.99,15,3.2,0,52
FL-1132,OceanicAir,OC861,HND,CDG,2026-01-16 16:19:00,2026-01-16 18:39:00,Thunderstorm,23.2,17.8,8.1,3.4,19,2.3,0,66
FL-1133,OceanicAir,OC716,ORD,FRA,2026-01-14 14:52:00,2026-01-14 18:21:00,Clear,-6.2,30.4,3.4,6.42,5,9.7,0,30
FL-1134,JetExpress,JE557,JFK,CDG,2026-01-29 05:34:00,2026-01-29 10:01:00,Rain,20.7,36.0,1.0,7.04,23,9.2,0,46
FL-1135,NimbusAero,NI795,ORD,JFK,2026-01-07 17:57:00,2026-01-07 23:53:00,Fog,27.5,3.5,1.1,8.01,1,8.4,0,35
FL-1136,TransFlight,TR133,FRA,ORD,2026-01-21 17:26:00,2026-01-21 21:20:00,Rain,11.3,5.3,1.8,4.3,0,7.3,0,18
FL-1137,SkyWings,SK126,ORD,DXB,2026-01-24 19:30:00,2026-01-24 23:33:00,Snow,-4.3,35.3,7.2,2.93,2,13.7,0,67
FL-1138,OceanicAir,OC304,LAX,ATL,2026-01-04 14:53:00,2026-01-04 19:29:00,Overcast,33.1,21.1,1.3,7.14,2,18.7,0,32
FL-1139,SkyWings,SK663,DXB,DFW,2026-01-14 21:37:00,2026-01-14 23:42:00,Fog,24.1,32.1,2.2,4.25,18,5.3,0,42
FL-1140,AeroGlobal,AE342,HND,JFK,2026-01-17 16:11:00,2026-01-17 21:39:00,Snow,7.7,36.6,5.7,6.51,16,2.4,0,67
FL-1141,NimbusAero,NI836,HND,FRA,2026-01-19 22:41:00,2026-01-20 02:55:00,High Winds,17.6,7.4,3.5,1.67,14,10.5,0,61
FL-1142,AeroGlobal,AE999,DXB,ORD,2026-01-07 02:56:00,2026-01-07 07:22:00,Snow,33.7,4.4,1.7,2.38,8,4.0,0,37
FL-1143,NimbusAero,NI330,LHR,FRA,2026-01-14 04:15:00,2026-01-14 05:40:00,Rain,-0.6,43.1,3.1,6.63,21,13.7,0,32
FL-1144,NimbusAero,NI272,FRA,ORD,2026-01-09 00:59:00,2026-01-09 07:21:00,Snow,24.6,28.0,8.5,6.07,0,18.2,1,64
FL-1145,NimbusAero,NI889,FRA,DFW,2026-01-30 21:12:00,2026-01-30 23:44:00,High Winds,17.5,28.6,0.8,9.0,1,12.2,0,83
FL-1146,JetExpress,JE594,ATL,HND,2026-01-14 18:52:00,2026-01-14 23:29:00,Clear,23.1,8.8,4.4,5.18,10,7.8,0,11
FL-1147,NimbusAero,NI426,LHR,HND,2026-01-07 04:49:00,2026-01-07 08:43:00,Snow,17.0,15.7,4.9,3.41,8,5.8,0,42
FL-1148,JetExpress,JE493,FRA,CDG,2026-01-12 13:10:00,2026-01-12 15:16:00,High Winds,5.7,26.8,3.5,7.87,7,11.2,0,77
FL-1149,OceanicAir,OC415,HND,JFK,2026-01-05 08:21:00,2026-01-05 12:27:00,Snow,11.9,12.4,6.0,1.44,0,6.5,0,55
FL-1150,NimbusAero,NI788,HND,DFW,2026-01-25 16:12:00,2026-01-25 17:01:00,High Winds,-4.8,7.8,3.0,4.29,7,9.2,0,42
FL-1151,SkyWings,SK683,DXB,ATL,2026-01-17 17:58:00,2026-01-17 23:26:00,Rain,-6.5,23.7,7.8,3.52,29,21.8,0,62
FL-1152,SkyWings,SK503,LHR,CDG,2026-01-26 15:18:00,2026-01-26 19:10:00,High Winds,-3.1,27.9,4.3,1.36,16,1.3,0,46
FL-1153,OceanicAir,OC631,HND,ORD,2026-01-28 20:11:00,2026-01-29 01:19:00,Overcast,5.7,28.4,2.0,9.92,13,16.4,0,46
FL-1154,TransFlight,TR645,HND,DFW,2026-01-22 20:42:00,2026-01-22 21:35:00,Rain,5.9,6.7,4.5,3.77,42,19.8,0,32
FL-1155,TransFlight,TR585,DFW,ATL,2026-01-03 14:05:00,2026-01-03 19:48:00,Thunderstorm,-1.8,29.0,6.4,8.57,15,3.7,0,102
FL-1156,SkyWings,SK686,LAX,DFW,2026-01-02 02:41:00,2026-01-02 07:11:00,Rain,10.1,19.8,2.4,5.52,9,13.6,0,43
FL-1157,NimbusAero,NI844,JFK,ATL,2026-01-24 20:32:00,2026-01-24 23:03:00,Snow,5.6,30.5,5.5,3.82,7,4.2,0,62
FL-1158,JetExpress,JE659,LHR,DFW,2026-01-29 00:21:00,2026-01-29 05:13:00,Overcast,36.0,14.0,3.3,9.47,48,21.6,0,60
FL-1159,NimbusAero,NI821,HND,LHR,2026-01-23 02:04:00,2026-01-23 05:47:00,Snow,34.8,36.2,3.1,2.1,5,15.0,0,45
FL-1160,OceanicAir,OC938,LHR,ORD,2026-01-14 11:15:00,2026-01-14 12:21:00,Rain,35.9,5.4,9.3,6.9,27,16.6,1,68
FL-1161,JetExpress,JE675,DFW,ORD,2026-01-06 05:18:00,2026-01-06 11:18:00,Fog,18.2,12.4,6.9,5.78,17,14.2,0,45
FL-1162,OceanicAir,OC438,HND,LAX,2026-01-07 12:09:00,2026-01-07 12:56:00,Snow,36.9,8.8,6.7,8.93,14,10.7,0,81
FL-1163,JetExpress,JE428,DFW,JFK,2026-01-05 07:42:00,2026-01-05 14:00:00,Snow,1.1,33.8,8.6,1.34,24,20.3,0,67
FL-1164,SkyWings,SK956,CDG,DXB,2026-01-09 17:30:00,2026-01-09 20:43:00,Clear,-9.6,26.4,1.5,9.85,4,6.6,0,42
FL-1165,TransFlight,TR636,HND,ORD,2026-01-24 04:44:00,2026-01-24 09:28:00,Rain,-0.7,6.8,2.0,5.13,24,6.0,0,35
FL-1166,NimbusAero,NI445,DFW,ATL,2026-01-09 05:41:00,2026-01-09 11:38:00,High Winds,20.7,19.4,4.6,3.95,69,9.1,0,60
FL-1167,AeroGlobal,AE588,LHR,ATL,2026-01-01 13:27:00,2026-01-01 16:25:00,Thunderstorm,1.3,34.4,9.6,3.72,22,16.0,1,83
FL-1168,NimbusAero,NI341,JFK,ORD,2026-01-22 10:20:00,2026-01-22 13:42:00,Overcast,9.5,23.6,9.0,7.33,6,7.2,0,47
