flight_id,airline,flight_number,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,weather_condition,temperature_c,wind_speed_kts,visibility_km,airport_traffic_index,prior_leg_delay_min,aircraft_age_years,maintenance_overdue_flag,actual_departure_delay_min,airline_code,weather_code,temp_norm,wind_norm,traffic_norm,delay_risk_class
FL-1010,NimbusAero,NI996,DFW,FRA,2026-01-09 09:08:00,2026-01-09 14:12:00,Clear,31.8,14.8,6.6,6.48,9,3.8,0,22,0,5,0.8708333333333332,0.29767441860465116,0.6095661846496108,1
FL-1011,TransFlight,TR897,DXB,JFK,2026-01-28 12:12:00,2026-01-28 15:42:00,Thunderstorm,-9.1,42.0,8.8,8.48,10,7.1,0,75,3,4,0.018750000000000006,0.9302325581395349,0.832035595105673,2
FL-1012,TransFlight,TR180,LAX,DXB,2026-01-04 09:35:00,2026-01-04 14:52:00,High Winds,-4.0,30.4,9.5,2.49,13,11.8,0,50,3,2,0.125,0.6604651162790698,0.16573971078976643,2
FL-1013,AeroGlobal,AE652,ATL,LHR,2026-01-19 09:48:00,2026-01-19 16:16:00,Fog,7.9,40.7,4.8,3.23,2,1.9,0,25,1,1,0.3729166666666666,0.9,0.24805339265850945,1
FL-1014,TransFlight,TR335,FRA,ATL,2026-01-01 13:51:00,2026-01-01 15:12:00,Fog,20.3,11.8,9.1,8.74,1,2.0,0,46,3,1,0.63125,0.22790697674418606,0.8609566184649611,2
FL-1015,NimbusAero,NI597,ATL,FRA,2026-01-07 06:31:00,2026-01-07 13:26:00,Snow,17.7,12.4,5.0,4.66,1,2.5,0,65,0,3,0.5770833333333333,0.24186046511627907,0.407119021134594,2
FL-1016,JetExpress,JE533,CDG,DXB,2026-01-03 17:10:00,2026-01-03 23:39:00,Fog,37.2,6.2,4.3,4.05,17,19.0,1,55,4,1,0.9833333333333334,0.09767441860465116,0.33926585094549494,2
FL-1017,OceanicAir,OC243,CDG,ORD,2026-01-13 22:14:00,2026-01-14 02:55:00,Overcast,32.0,5.2,8.2,8.7,10,2.6,0,38,5,0,0.875,0.07441860465116279,0.8565072302558397,1
FL-1018,TransFlight,TR956,JFK,ORD,2026-01-12 00:11:00,2026-01-12 02:21:00,Thunderstorm,13.3,11.2,4.3,1.53,0,8.6,0,61,3,4,0.48541666666666666,0.21395348837209302,0.05895439377085651,2
FL-1019,JetExpress,JE902,HND,DFW,2026-01-20 12:02:00,2026-01-20 18:43:00,Fog,37.8,25.9,7.3,2.39,16,6.9,0,54,4,1,0.9958333333333332,0.555813953488372,0.1546162402669633,2
FL-1020,TransFlight,TR853,DXB,JFK,2026-01-15 12:32:00,2026-01-15 13:46:00,Clear,18.0,23.6,8.6,2.42,5,21.2,1,59,3,5,0.5833333333333334,0.5023255813953489,0.15795328142380421,2
FL-1021,TransFlight,TR169,ATL,HND,2026-01-06 16:56:00,2026-01-06 22:32:00,Overcast,17.8,3.7,1.3,6.92,3,12.7,0,41,3,0,0.5791666666666667,0.03953488372093024,0.6585094549499444,1
FL-1022,JetExpress,JE309,LHR,ATL,2026-01-13 08:07:00,2026-01-13 12:14:00,Overcast,22.2,14.9,3.5,7.77,52,2.1,0,64,4,0,0.6708333333333334,0.3,0.7530589543937708,2
FL-1023,TransFlight,TR202,LAX,FRA,2026-01-10 22:49:00,2026-01-11 03:53:00,Rain,-3.6,17.0,1.2,3.2,38,6.6,0,54,3,6,0.13333333333333333,0.3488372093023256,0.24471635150166854,2
FL-1024,TransFlight,TR820,DFW,FRA,2026-01-01 14:32:00,2026-01-01 20:58:00,High Winds,16.6,42.1,1.5,8.9,1,6.2,0,59,3,2,0.5541666666666667,0.9325581395348838,0.8787541713014461,2
FL-1025,NimbusAero,NI666,ORD,LHR,2026-01-14 01:45:00,2026-01-14 07:39:00,Overcast,24.4,10.8,6.5,3.38,4,11.0,0,2,0,0,0.7166666666666667,0.2046511627906977,0.26473859844271413,0
FL-1026,SkyWings,SK194,CDG,DFW,2026-01-03 06:09:00,2026-01-03 06:55:00,Rain,27.0,29.4,3.0,7.67,26,12.4,0,40,2,6,0.7708333333333334,0.6372093023255814,0.7419354838709677,1
FL-1027,SkyWings,SK214,LAX,ATL,2026-01-26 01:55:00,2026-01-26 02:58:00,High Winds,7.7,25.8,4.6,1.38,11,8.3,0,40,2,2,0.36874999999999997,0.5534883720930233,0.04226918798665182,1
FL-1028,SkyWings,SK466,ATL,DFW,2026-01-05 22:16:00,2026-01-06 02:02:00,High Winds,16.9,39.6,9.8,7.75,2,20.4,1,78,2,2,0.5604166666666667,0.8744186046511628,0.7508342602892102,2
FL-1029,AeroGlobal,AE522,JFK,ATL,2026-01-16 08:50:00,2026-01-16 13:05:00,High Winds,22.2,33.6,2.9,2.43,19,15.6,0,50,1,2,0.6708333333333334,0.7348837209302326,0.15906562847608455,2
FL-1030,OceanicAir,OC327,ATL,DXB,2026-01-17 03:55:00,2026-01-17 07:16:00,High Winds,28.2,11.8,0.7,2.74,22,7.6,0,57,5,2,0.7958333333333334,0.22790697674418606,0.19354838709677422,2
FL-1031,JetExpress,JE459,DXB,CDG,2026-01-25 15:41:00,2026-01-25 19:15:00,Clear,-4.5,43.7,2.2,9.66,1,6.2,0,28,4,5,0.11458333333333333,0.9697674418604652,0.9632925472747497,1
FL-1032,OceanicAir,OC453,LHR,HND,2026-01-28 20:08:00,2026-01-29 01:14:00,Clear,8.5,26.8,2.9,7.38,29,0.5,0,28,5,5,0.3854166666666667,0.5767441860465117,0.7096774193548386,1
FL-1033,TransFlight,TR803,ATL,CDG,2026-01-20 21:05:00,2026-01-20 22:25:00,Fog,34.2,28.8,6.8,2.12,0,19.9,0,46,3,1,0.9208333333333334,0.6232558139534884,0.12458286985539489,2
FL-1034,JetExpress,JE512,DFW,FRA,2026-01-07 01:01:00,2026-01-07 03:24:00,Thunderstorm,21.9,18.3,7.6,2.57,5,12.7,0,66,4,4,0.6645833333333333,0.3790697674418605,0.17463848720800887,2
FL-1035,SkyWings,SK411,DFW,ATL,2026-01-20 19:33:00,2026-01-21 01:14:00,Snow,21.4,22.0,4.7,2.92,15,10.7,0,54,2,3,0.6541666666666667,0.46511627906976744,0.21357063403781978,2
FL-1036,NimbusAero,NI273,LAX,LHR,2026-01-24 17:00:00,2026-01-24 23:24:00,Fog,19.7,6.0,9.5,3.11,32,7.2,0,49,0,1,0.61875,0.09302325581395349,0.23470522803114569,2
FL-1037,AeroGlobal,AE125,JFK,DFW,2026-01-22 20:58:00,2026-01-23 02:55:00,High Winds,26.9,21.6,8.9,6.18,18,15.9,0,60,1,2,0.7687499999999999,0.4558139534883721,0.5761957730812013,2
FL-1038,AeroGlobal,AE771,JFK,ORD,2026-01-20 14:22:00,2026-01-20 16:59:00,Overcast,28.6,31.9,4.9,6.02,21,20.2,1,71,1,0,0.8041666666666667,0.6953488372093023,0.5583982202447163,2
FL-1039,OceanicAir,OC783,DXB,FRA,2026-01-28 08:23:00,2026-01-28 11:50:00,High Winds,32.8,28.3,7.3,5.54,10,18.4,0,66,5,2,0.8916666666666666,0.6116279069767442,0.5050055617352613,2
FL-1040,NimbusAero,NI982,HND,DXB,2026-01-13 01:06:00,2026-01-13 03:57:00,High Winds,20.6,34.9,5.5,6.64,11,6.4,0,48,0,2,0.6375000000000001,0.7651162790697674,0.6273637374860956,2
FL-1041,JetExpress,JE340,DFW,CDG,2026-01-15 19:12:00,2026-01-16 00:33:00,Clear,-3.4,11.9,7.1,7.36,1,1.9,0,26,4,5,0.13749999999999998,0.2302325581395349,0.7074527252502781,1
FL-1042,TransFlight,TR577,CDG,JFK,2026-01-10 15:55:00,2026-01-10 20:15:00,Thunderstorm,33.4,27.1,7.1,8.71,0,17.0,0,48,3,4,0.9041666666666667,0.5837209302325582,0.8576195773081202,2
FL-1043,JetExpress,JE405,CDG,HND,2026-01-25 17:52:00,2026-01-25 23:16:00,High Winds,19.0,11.5,2.6,4.92,10,1.1,0,61,4,2,0.6041666666666666,0.22093023255813954,0.43604004449388206,2
FL-1044,NimbusAero,NI917,CDG,ORD,2026-01-22 12:30:00,2026-01-22 14:20:00,Snow,15.6,41.0,6.1,6.97,35,2.3,0,74,0,3,0.5333333333333333,0.9069767441860465,0.6640711902113459,2
FL-1045,OceanicAir,OC286,JFK,LHR,2026-01-18 12:04:00,2026-01-18 15:36:00,Overcast,11.8,16.5,8.9,3.5,21,21.0,0,14,5,0,0.45416666666666666,0.3372093023255814,0.27808676307007785,0
FL-1046,OceanicAir,OC119,DXB,JFK,2026-01-17 04:15:00,2026-01-17 06:54:00,Fog,-6.7,43.2,0.9,1.28,3,5.8,0,34,5,1,0.06874999999999999,0.958139534883721,0.031145717463848723,1
FL-1047,TransFlight,TR256,ATL,ORD,2026-01-22 19:15:00,2026-01-23 01:42:00,Clear,17.1,11.4,7.1,7.9,2,4.1,0,25,3,5,0.5645833333333333,0.2186046511627907,0.7675194660734149,1
FL-1048,NimbusAero,NI835,LAX,ATL,2026-01-15 09:44:00,2026-01-15 11:24:00,Snow,-8.8,15.4,6.9,9.62,39,9.0,0,102,0,3,0.024999999999999984,0.3116279069767442,0.9588431590656283,2
FL-1049,SkyWings,SK706,ATL,LAX,2026-01-14 23:24:00,2026-01-15 05:59:00,Snow,28.7,36.2,5.9,1.37,30,12.0,0,73,2,3,0.80625,0.7953488372093024,0.04115684093437153,2
FL-1050,SkyWings,SK618,LHR,JFK,2026-01-20 08:48:00,2026-01-20 13:43:00,Clear,10.8,17.6,9.0,5.14,24,3.8,0,46,2,5,0.43333333333333335,0.3627906976744186,0.4605116796440489,2
FL-1051,TransFlight,TR766,DFW,FRA,2026-01-23 06:06:00,2026-01-23 10:49:00,Thunderstorm,29.6,27.5,3.6,3.21,33,20.6,0,76,3,4,0.8250000000000001,0.5930232558139535,0.24582869855394882,2
FL-1052,OceanicAir,OC683,FRA,CDG,2026-01-16 13:26:00,2026-01-16 14:25:00,Thunderstorm,30.8,9.8,2.5,8.18,5,7.8,0,84,5,4,0.85,0.1813953488372093,0.7986651835372636,2
FL-1053,NimbusAero,NI382,DXB,JFK,2026-01-24 18:17:00,2026-01-24 20:39:00,Clear,1.6,19.5,5.8,3.16,8,10.7,0,12,0,5,0.24166666666666667,0.4069767441860465,0.2402669632925473,0
FL-1054,OceanicAir,OC911,JFK,ORD,2026-01-14 15:23:00,2026-01-14 18:01:00,Thunderstorm,23.2,15.2,6.0,5.26,25,11.9,0,50,5,4,0.6916666666666668,0.3069767441860465,0.47385984427141264,2
FL-1055,NimbusAero,NI663,LHR,CDG,2026-01-21 21:36:00,2026-01-22 00:39:00,Rain,2.1,7.2,2.3,2.08,3,12.0,0,26,0,6,0.2520833333333333,0.12093023255813953,0.12013348164627365,1
FL-1056,AeroGlobal,AE296,ATL,DXB,2026-01-13 20:00:00,2026-01-14 02:55:00,Snow,36.9,24.6,3.2,1.9,1,4.7,0,41,1,3,0.9770833333333333,0.5255813953488372,0.10011123470522802,1
FL-1057,AeroGlobal,AE409,JFK,FRA,2026-01-07 00:15:00,2026-01-07 03:20:00,Clear,36.8,25.8,7.1,2.14,5,19.2,0,9,1,5,0.975,0.5534883720930233,0.12680756395995552,0
FL-1058,TransFlight,TR391,HND,DXB,2026-01-21 07:06:00,2026-01-21 10:45:00,Overcast,36.3,12.9,8.7,2.03,10,1.9,0,7,3,0,0.9645833333333332,0.2534883720930233,0.11457174638487205,0
FL-1059,TransFlight,TR744,JFK,ATL,2026-01-08 00:57:00,2026-01-08 06:30:00,Rain,-5.9,12.7,5.8,4.75,53,13.3,0,75,3,6,0.08541666666666665,0.24883720930232556,0.41713014460511677,2
FL-1060,TransFlight,TR489,HND,DXB,2026-01-14 18:47:00,2026-01-15 00:33:00,Thunderstorm,4.7,28.7,6.3,7.66,49,20.9,1,113,3,4,0.30624999999999997,0.6209302325581395,0.7408231368186874,2
FL-1061,NimbusAero,NI183,ORD,DFW,2026-01-09 03:51:00,2026-01-09 09:18:00,Clear,-2.5,19.6,7.0,5.23,5,1.2,0,5,0,5,0.15625,0.4093023255813954,0.4705228031145718,0
FL-1062,JetExpress,JE819,HND,LAX,2026-01-11 20:57:00,2026-01-11 23:57:00,High Winds,28.0,27.4,8.1,2.78,5,3.0,0,39,4,2,0.7916666666666666,0.5906976744186047,0.1979977753058954,1
FL-1063,AeroGlobal,AE372,ORD,LAX,2026-01-03 23:08:00,2026-01-04 01:17:00,High Winds,4.8,34.2,5.9,3.6,10,3.2,0,48,1,2,0.30833333333333335,0.7488372093023257,0.289210233592881,2
FL-1064,NimbusAero,NI512,DFW,FRA,2026-01-25 19:48:00,2026-01-26 00:45:00,Thunderstorm,-6.1,3.7,4.6,3.9,0,5.9,0,52,0,4,0.08125,0.03953488372093024,0.3225806451612903,2
FL-1065,NimbusAero,NI956,FRA,JFK,2026-01-13 12:22:00,2026-01-13 18:02:00,Clear,26.6,9.5,5.4,4.98,4,6.5,0,17,0,5,0.7625000000000001,0.1744186046511628,0.442714126807564,1
FL-1066,OceanicAir,OC750,HND,LAX,2026-01-22 15:22:00,2026-01-22 19:05:00,Thunderstorm,6.0,30.8,8.6,3.97,2,15.4,0,76,5,4,0.3333333333333333,0.6697674418604651,0.3303670745272525,2
FL-1067,TransFlight,TR137,HND,LAX,2026-01-15 13:32:00,2026-01-15 16:26:00,Rain,-4.4,35.2,8.7,8.42,4,0.5,0,46,3,6,0.11666666666666665,0.772093023255814,0.8253615127919911,2
FL-1068,OceanicAir,OC523,JFK,DFW,2026-01-24 20:16:00,2026-01-25 00:06:00,Snow,26.3,28.9,7.7,2.83,16,12.3,0,56,5,3,0.75625,0.6255813953488372,0.203559510567297,2
FL-1069,OceanicAir,OC815,HND,LAX,2026-01-02 13:31:00,2026-01-02 19:38:00,Snow,28.4,32.5,3.5,1.12,19,9.3,0,52,5,3,0.7999999999999999,0.7093023255813954,0.013348164627363749,2
FL-1070,SkyWings,SK572,LAX,ATL,2026-01-23 22:21:00,2026-01-24 05:12:00,Rain,14.4,13.8,8.4,9.82,6,5.7,0,64,2,6,0.5083333333333333,0.2744186046511628,0.9810901001112348,2
FL-1071,OceanicAir,OC295,FRA,DXB,2026-01-07 11:06:00,2026-01-07 12:26:00,Rain,27.1,38.7,3.7,8.09,11,6.2,0,57,5,6,0.7729166666666667,0.8534883720930233,0.7886540600667408,2
FL-1072,NimbusAero,NI405,FRA,HND,2026-01-08 00:18:00,2026-01-08 04:51:00,Snow,13.2,16.3,7.7,4.39,1,20.6,0,56,0,3,0.48333333333333334,0.3325581395348837,0.3770856507230255,2
FL-1073,AeroGlobal,AE685,CDG,ATL,2026-01-19 22:40:00,2026-01-19 23:47:00,Rain,25.7,32.3,8.2,4.47,3,14.8,0,41,1,6,0.74375,0.7046511627906976,0.385984427141268,1
FL-1074,AeroGlobal,AE607,JFK,ATL,2026-01-24 02:38:00,2026-01-24 08:25:00,Rain,31.7,39.6,4.7,5.73,0,10.3,0,51,1,6,0.86875,0.8744186046511628,0.5261401557285873,2
FL-1075,OceanicAir,OC991,ORD,LAX,2026-01-22 14:48:00,2026-01-22 17:48:00,Rain,19.9,19.1,1.3,3.96,0,15.0,0,35,5,6,0.6229166666666667,0.3976744186046512,0.3292547274749722,1
FL-1076,JetExpress,JE741,HND,FRA,2026-01-02 21:12:00,2026-01-03 03:13:00,Clear,1.3,31.4,3.2,3.05,10,2.4,0,23,4,5,0.2354166666666667,0.6837209302325581,0.22803114571746383,1
FL-1077,NimbusAero,NI820,LAX,DXB,2026-01-08 19:42:00,2026-01-09 02:22:00,Rain,33.4,4.0,8.1,3.64,2,8.6,0,11,0,6,0.9041666666666667,0.046511627906976744,0.2936596218020022,0
FL-1078,TransFlight,TR521,FRA,ORD,2026-01-08 23:40:00,2026-01-09 01:54:00,Clear,19.3,18.4,7.0,5.48,17,13.0,0,36,3,5,0.6104166666666667,0.38139534883720927,0.49833147942157957,1
FL-1079,NimbusAero,NI360,HND,DFW,2026-01-01 16:15:00,2026-01-01 20:58:00,Rain,22.5,8.8,4.7,4.11,2,13.1,0,27,0,6,0.6770833333333334,0.15813953488372096,0.3459399332591769,1
FL-1080,OceanicAir,OC806,DFW,DXB,2026-01-14 23:59:00,2026-01-15 02:25:00,Thunderstorm,31.0,6.6,4.1,4.23,6,6.9,0,65,5,4,0.8541666666666666,0.10697674418604651,0.35928809788654065,2
FL-1081,SkyWings,SK949,CDG,DFW,2026-01-01 14:50:00,2026-01-01 20:24:00,High Winds,22.9,34.0,1.0,6.46,16,11.2,0,75,2,2,0.6854166666666667,0.7441860465116279,0.60734149054505,2
FL-1082,JetExpress,JE894,ATL,CDG,2026-01-11 05:12:00,2026-01-11 11:22:00,Overcast,19.8,31.1,7.3,6.93,25,18.5,0,57,4,0,0.6208333333333333,0.6767441860465117,0.6596218020022246,2
FL-1083,NimbusAero,NI140,DFW,DXB,2026-01-02 18:26:00,2026-01-03 00:07:00,Rain,25.2,5.9,3.3,7.73,4,4.3,0,64,0,6,0.7333333333333334,0.09069767441860466,0.7486095661846497,2
FL-1084,TransFlight,TR997,LHR,FRA,2026-01-24 02:05:00,2026-01-24 05:09:00,High Winds,-2.1,41.3,9.5,9.71,1,6.8,0,57,3,2,0.16458333333333333,0.913953488372093,0.9688542825361514,2
FL-1085,SkyWings,SK579,LAX,ATL,2026-01-11 12:25:00,2026-01-11 18:56:00,Fog,22.4,19.1,8.5,6.02,6,2.4,0,60,2,1,0.6749999999999999,0.3976744186046512,0.5583982202447163,2
FL-1086,JetExpress,JE649,LAX,DXB,2026-01-18 00:35:00,2026-01-18 07:04:00,Fog,22.3,27.1,8.3,9.46,19,2.8,0,72,4,1,0.6729166666666666,0.5837209302325582,0.9410456062291436,2
FL-1087,SkyWings,SK734,DXB,LHR,2026-01-29 00:22:00,2026-01-29 03:00:00,Fog,-7.0,37.4,9.1,3.72,1,9.3,0,45,2,1,0.0625,0.8232558139534883,0.3025583982202447,1
FL-1088,SkyWings,SK411,HND,LAX,2026-01-05 16:09:00,2026-01-05 18:54:00,Snow,-3.5,21.5,6.9,7.69,2,20.8,0,70,2,3,0.13541666666666666,0.45348837209302323,0.7441601779755284,2
FL-1089,AeroGlobal,AE524,LAX,DXB,2026-01-29 06:27:00,2026-01-29 10:40:00,Rain,-8.4,17.9,4.7,9.55,0,18.9,1,75,1,6,0.033333333333333326,0.36976744186046506,0.9510567296996664,2
FL-1090,TransFlight,TR760,LHR,JFK,2026-01-19 08:52:00,2026-01-19 11:58:00,Overcast,36.5,42.8,8.3,1.83,1,5.1,0,12,3,0,0.96875,0.9488372093023255,0.09232480533926586,0
FL-1091,SkyWings,SK151,LHR,ATL,2026-01-06 23:32:00,2026-01-07 05:06:00,Overcast,-6.7,34.9,2.5,2.94,17,19.2,0,11,2,0,0.06874999999999999,0.7651162790697674,0.21579532814238042,0
FL-1092,TransFlight,TR102,DFW,ORD,2026-01-07 03:59:00,2026-01-07 09:20:00,Rain,28.3,6.7,8.7,2.19,15,8.2,0,38,3,6,0.7979166666666666,0.10930232558139535,0.13236929922135707,1
FL-1093,TransFlight,TR431,JFK,ATL,2026-01-13 07:51:00,2026-01-13 09:02:00,Overcast,25.6,24.6,7.6,5.29,4,17.2,0,14,3,0,0.7416666666666667,0.5255813953488372,0.4771968854282536,0
FL-1094,TransFlight,TR326,FRA,JFK,2026-01-31 05:41:00,2026-01-31 10:52:00,Rain,12.0,43.5,1.1,5.31,5,9.1,0,43,3,6,0.4583333333333333,0.9651162790697675,0.47942157953281417,1
FL-1095,OceanicAir,OC829,HND,LAX,2026-01-04 22:14:00,2026-01-05 01:43:00,Snow,-2.9,7.4,6.4,6.27,28,15.8,0,88,5,3,0.14791666666666667,0.12558139534883722,0.5862068965517241,2
FL-1096,JetExpress,JE564,DXB,CDG,2026-01-05 18:19:00,2026-01-06 01:03:00,Clear,30.9,30.0,7.8,7.49,16,5.1,0,27,4,5,0.8520833333333333,0.6511627906976745,0.7219132369299222,1
FL-1097,AeroGlobal,AE523,LHR,DXB,2026-01-19 09:31:00,2026-01-19 13:48:00,Fog,-5.4,20.4,6.8,4.37,6,3.8,0,52,1,1,0.09583333333333333,0.42790697674418604,0.37486095661846497,2
FL-1098,SkyWings,SK193,LAX,ORD,2026-01-20 21:43:00,2026-01-20 23:17:00,Fog,25.5,36.9,5.8,6.28,4,12.6,0,56,2,1,0.7395833333333334,0.8116279069767441,0.5873192436040044,2
FL-1099,SkyWings,SK520,LHR,HND,2026-01-03 14:11:00,2026-01-03 17:23:00,Snow,5.0,6.5,5.3,2.39,14,10.9,0,57,2,3,0.3125,0.10465116279069768,0.1546162402669633,2
FL-1100,JetExpress,JE965,DXB,LHR,2026-01-06 11:29:00,2026-01-06 14:36:00,Snow,0.9,20.5,5.8,7.91,23,13.9,0,108,4,3,0.22708333333333333,0.43023255813953487,0.7686318131256952,2
FL-1101,TransFlight,TR126,FRA,DFW,2026-01-02 13:37:00,2026-01-02 15:54:00,Rain,23.7,15.3,3.7,1.05,10,19.2,0,22,3,6,0.7020833333333334,0.30930232558139537,0.005561735261401562,1
FL-1102,AeroGlobal,AE858,JFK,ORD,2026-01-25 09:25:00,2026-01-25 12:00:00,Thunderstorm,10.2,16.7,4.0,7.49,3,17.2,0,52,1,4,0.42083333333333334,0.34186046511627904,0.7219132369299222,2
FL-1103,SkyWings,SK259,ORD,JFK,2026-01-04 23:06:00,2026-01-05 02:10:00,Thunderstorm,21.8,22.9,4.7,3.46,0,16.7,1,85,2,4,0.6625,0.48604651162790696,0.27363737486095663,2
FL-1104,JetExpress,JE794,FRA,HND,2026-01-25 05:33:00,2026-01-25 11:59:00,Rain,-7.8,19.0,6.2,1.07,15,7.0,0,21,4,6,0.04583333333333334,0.3953488372093023,0.007786429365962187,1
FL-1105,AeroGlobal,AE882,DFW,LHR,2026-01-16 04:23:00,2026-01-16 06:09:00,Clear,13.9,20.5,1.7,5.79,51,5.4,0,58,1,5,0.4979166666666666,0.43023255813953487,0.5328142380422691,2
FL-1106,NimbusAero,NI925,LHR,LAX,2026-01-19 07:42:00,2026-01-19 08:48:00,Thunderstorm,-9.1,41.6,8.7,6.18,49,12.8,0,97,0,4,0.018750000000000006,0.9209302325581395,0.5761957730812013,2
FL-1107,OceanicAir,OC396,LAX,HND,2026-01-02 04:46:00,2026-01-02 08:17:00,Overcast,28.5,28.6,8.4,9.28,7,2.4,0,48,5,0,0.8020833333333334,0.6186046511627907,0.9210233592880978,2
FL-1108,AeroGlobal,AE546,FRA,CDG,2026-01-25 02:18:00,2026-01-25 03:43:00,Thunderstorm,31.8,34.1,2.6,8.01,28,2.1,0,84,1,4,0.8708333333333332,0.7465116279069768,0.7797552836484983,2
FL-1109,TransFlight,TR622,ATL,CDG,2026-01-17 05:29:00,2026-01-17 12:26:00,High Winds,21.0,8.4,1.5,3.3,12,4.2,0,37,3,2,0.6458333333333334,0.14883720930232558,0.2558398220244716,1
FL-1110,NimbusAero,NI177,ORD,DXB,2026-01-22 08:45:00,2026-01-22 14:18:00,High Winds,17.8,31.3,8.9,6.79,41,21.7,0,93,0,2,0.5791666666666667,0.6813953488372093,0.6440489432703003,2
FL-1111,JetExpress,JE254,HND,LAX,2026-01-22 14:11:00,2026-01-22 18:42:00,Fog,4.5,13.8,1.0,5.57,1,7.2,0,62,4,1,0.3020833333333333,0.2744186046511628,0.5083426028921023,2
FL-1112,SkyWings,SK477,DFW,LAX,2026-01-30 14:08:00,2026-01-30 15:39:00,Snow,18.5,18.5,6.0,9.59,14,16.4,1,116,2,3,0.59375,0.38372093023255816,0.9555061179087875,2
FL-1113,TransFlight,TR767,ATL,CDG,2026-01-28 18:49:00,2026-01-28 23:37:00,Snow,-2.8,4.7,1.5,9.09,20,7.9,0,84,3,3,0.15,0.06279069767441861,0.8998887652947719,2
FL-1114,TransFlight,TR761,ORD,JFK,2026-01-12 12:36:00,2026-01-12 19:23:00,Thunderstorm,37.6,24.5,6.3,4.28,17,20.2,0,68,3,4,0.9916666666666667,0.5232558139534884,0.36484983314794217,2
FL-1115,NimbusAero,NI712,JFK,CDG,2026-01-04 05:59:00,2026-01-04 09:32:00,Clear,16.8,18.6,2.9,8.66,5,21.2,0,47,0,5,0.5583333333333333,0.386046511627907,0.8520578420467185,2
FL-1116,SkyWings,SK696,ORD,CDG,2026-01-15 08:51:00,2026-01-15 15:11:00,Fog,21.8,7.5,7.2,1.76,24,12.5,0,51,2,1,0.6625,0.12790697674418605,0.08453837597330367,2
FL-1117,JetExpress,JE932,ORD,FRA,2026-01-05 12:04:00,2026-01-05 18:19:00,Fog,10.3,17.6,3.9,2.62,36,5.1,0,65,4,1,0.42291666666666666,0.3627906976744186,0.18020022246941048,2
FL-1118,OceanicAir,OC296,ATL,ORD,2026-01-08 07:14:00,2026-01-08 08:38:00,Rain,30.5,6.3,7.8,8.52,10,19.5,1,81,5,6,0.84375,0.09999999999999999,0.8364849833147942,2
FL-1119,TransFlight,TR234,FRA,CDG,2026-01-08 06:29:00,2026-01-08 08:37:00,Overcast,29.9,35.2,8.2,2.49,15,9.9,0,21,3,0,0.8312499999999999,0.772093023255814,0.16573971078976643,1
